Nr. ,Egz.,Autorius ,Pavadinimas ,Metai ,Puslapiai 
396,1,Jadrien Bell,A.D. 999,2007,288
397,,Aleksandr Gromov,Feodalas,2007,320
398,,William R. Forstchen,Amžinoji sąjunga (1 dalis),2007,272
399,1,"William R. Forstchen, Ben Bova",Amžinoji sąjunga (2 dalis ir Olimpo kalnas),2007,304
400,užs.,Michael McCollum,Šuolis į Antarį,2007,288
401,1,Ken MacLeod,Pažinti pasaulį,2007,320
402,,David Gemmell,Šmėklų karalius,2007,288
403,,Aleksej Kalugin,Ne toks tas velnias baisus,2007,320
404,1,David Gemmell,Paskutinis galios kalavijas,2007,304
405,,Robert Charles Wilson,Kokonas,2007,416
406,1,"Alan Dean Foster , Alastair Reynolds",Kelionė į Molokiną (Didžioji Marso siena) ,2007,320
407,1,Dan Abnett,Inkvizitorius: ateivių kryžius,2007,320
408,1,Nancy Kress,Kryžminė ugnis,2007,320
409,1,Sergej Lukjanenko,Žvaigždės - šalti žaislai,2007,336
410,,Richard A. Knaak,Diablo: voro mėnulis,2007,320
411,1,Vonda N. McIntyre,Sapnų gyvatė,2007,320
412,1,Jack Williamson,Demonų mėnulis,2007,320
413,1,Sergej Lukjanenko,Žvaigždžių šešėlis,2007,304
414,1,Dan Abnett,Inkvizitorius: raganų kryžius,2007,315
415,1,Tim Lebbon,Sutemos,2007,352
416,1,Philip Jose Farmer,Nuosavas kosmosas  (Pasaulio vartai),2007,320
417,1,Robert J. Sawyer,Skaičiuojantis dievas,2007,304
418,1,Neal Asher,Odlupys,2007,352
419,1,Timothy Zahn,Žvaigždžių raiteliai,2008,320
420,1,Larry Niven,Žiedinio pasaulio inžinieriai,2008,352
421,1,Clifford D. Simak,Svečiai (Įkalintas akmenyje),2008,288
422,,Dan Abnett,Inkvizitorius: eretikų kryžius,2008,336
423,1,Michael Marshall Smith,Tik į priekį,2008,304
424,1,Philip Jose Farmer,Lavalitinis pasaulis (Anapus Žemės vartų),2008,336
425,1,Karl Schroeder,Ventas (pirma knyga),2007,304
426,1,Karl Schroeder,Ventas (antra knyga),2007,304
427,1,Brian Lumley,Faraono priešas,2008,304
428,,Steve White,Demonų vartai,2008,288
429,1,Aleksandr Gromov,"Žingsnis į kairę, žingsnis į dešinę",2008,352
430,1,Tim Lebbon,Aušra,2008,352
431,1,"Colin Wilson, Harry Turtledove","Sąmonės parazitai, (Žemumose)",2008,320
432,užs.,Sergej Lukjanenko,Švarraštis,2008,304
433,1,Clifford D. Simak,"Dievų valia (Begaliniai pasauliai, Imigrantas)",2008,304
434,,Dave Duncan,Paženklinti prakeiksmu,2008,400
435,1,Dave Duncan,Auksuota grandinė,2008,320
436,užs.,"Larry Niven, Jerry Pournelle, Steven Barnes",Heoroto paveldas,2008,368
437,1,Steve White,Titanų kalvė,2008,272
438,1,Neal Asher,Valstybės siena,2008,384
439,1,Fred Saberhagen,Plieninis Šiva,2008,288
440,,Jack McDevitt,Ieškotojas,2008,384
441,1,Simon Green,Kraujas ir garbė,2008,304
442,1,Hal Clement,"Ugnies ciklas (Kritinis taškas, Apsikeitimo greitis)",2008,304
443,1,Dave Duncan,Šešėlis,2008,288
444,1,Lawrence Watt-Evans,Nepaklusni magija (Madam Aegyptos),2008,336
445,,"Vladimir Vasiljev, Ana Kitajeva",Einantys į naktį,2008,400
446,1,Robert A. Heinlein,Šlovės kelias,2008,320
447,,Clive Cussler,Atlantidos kodas,2007,400
448,,Michael Swanwick,Geležinio drakono duktė,2009,320
449,,Roger MacBride Allen,Charono žiedas,2009,320
